Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g,CAQI,CAQI_Opis,Predicted_CAQI,Predicted_CAQI_Desc
2025-05-12 09:00:00,3.3,5.7,0.277,17.0,80.4,2.2,33.5,Dobry,33.55569076538086,Dobry
2025-05-12 10:00:00,3.0,5.4,0.296,18.1,82.6,2.4,34.416666666666664,Dobry,34.757694244384766,Dobry
2025-05-12 11:00:00,2.8,5.8,0.27,18.7,87.1,2.1,36.29166666666666,Dobry,36.35520553588867,Dobry
2025-05-12 12:00:00,2.3,5.3,0.307,20.6,89.8,1.6,37.41666666666666,Dobry,37.31181335449219,Dobry
2025-05-12 13:00:00,2.3,6.2,0.252,16.2,88.9,1.6,37.04166666666667,Dobry,37.00640869140625,Dobry
2025-05-12 14:00:00,2.3,4.6,0.322,25.5,85.3,1.6,35.541666666666664,Dobry,35.6926155090332,Dobry
2025-05-12 15:00:00,2.6,8.1,0.372,39.3,89.2,1.2,37.16666666666667,Dobry,36.98225021362305,Dobry
2025-05-12 16:00:00,3.7,10.7,0.334,29.9,93.7,1.6,39.04166666666667,Dobry,39.00361251831055,Dobry
2025-05-12 17:00:00,3.1,8.9,0.291,22.1,96.7,1.4,40.29166666666667,Dobry,40.26228332519531,Dobry
2025-05-12 18:00:00,2.8,7.3,0.269,19.6,96.4,1.6,40.16666666666667,Dobry,40.382328033447266,Dobry
2025-05-12 19:00:00,5.1,12.1,0.353,41.0,86.8,1.6,36.16666666666666,Dobry,35.8985481262207,Dobry
2025-05-12 20:00:00,8.0,21.5,0.41,48.5,67.7,1.8,28.208333333333336,Dobry,27.784069061279297,Dobry
2025-05-12 21:00:00,14.3,24.9,0.413,61.3,38.0,2.0,30.65,Dobry,30.04459571838379,Dobry
2025-05-12 22:00:00,14.1,21.8,0.591,65.1,3.7,2.2,32.55,Dobry,28.6234130859375,Dobry
2025-05-12 23:00:00,21.4,27.5,0.588,57.2,12.2,3.7,35.666666666666664,Dobry,35.47079086303711,Dobry
2025-05-13 00:00:00,29.5,35.8,0.543,30.7,31.3,4.3,49.16666666666667,Dobry,49.0377197265625,Dobry
2025-05-13 01:00:00,21.8,27.0,0.428,21.3,35.7,3.3,36.333333333333336,Dobry,36.23270797729492,Dobry
2025-05-13 02:00:00,18.6,23.3,0.392,19.6,34.6,3.4,31.000000000000004,Dobry,31.250234603881836,Dobry
2025-05-13 03:00:00,15.3,18.8,0.353,12.8,30.2,2.6,25.5,Dobry,25.526485443115234,Dobry
2025-05-13 04:00:00,15.3,18.9,0.364,14.6,28.6,2.5,25.5,Dobry,25.448928833007812,Dobry
2025-05-13 05:00:00,14.8,18.6,0.37,19.3,22.3,2.5,24.666666666666668,Bardzo dobry,24.440227508544922,Bardzo dobry
2025-05-13 06:00:00,14.5,19.3,0.453,21.7,19.5,3.1,24.166666666666668,Bardzo dobry,23.708219528198242,Bardzo dobry
2025-05-13 07:00:00,12.0,19.2,0.416,38.1,28.3,5.4,20.0,Bardzo dobry,20.39584732055664,Bardzo dobry
2025-05-13 08:00:00,8.0,14.4,0.367,30.3,62.1,4.0,25.875,Dobry,26.10376739501953,Dobry
2025-05-13 09:00:00,,,,,,,,,,
