Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g
2025-02-01 00:00:00,14.1,18.3,0.322,24.5,54.1,3.1
2025-02-01 01:00:00,11.6,14.7,0.283,19.3,51.0,3.7
2025-02-01 02:00:00,12.7,15.7,0.316,20.0,47.6,4.2
2025-02-01 03:00:00,8.9,12.0,0.287,17.2,47.4,4.2
2025-02-01 04:00:00,10.0,12.5,0.299,15.9,41.5,4.6
2025-02-01 05:00:00,10.4,14.2,0.286,16.6,46.0,4.7
2025-02-01 06:00:00,12.6,18.6,0.313,22.4,46.2,5.8
2025-02-01 07:00:00,11.3,16.9,0.341,22.1,50.9,4.9
2025-02-01 08:00:00,11.8,16.7,0.365,23.1,50.0,4.5
2025-02-01 09:00:00,11.0,15.8,0.363,22.6,53.0,4.3
2025-02-01 10:00:00,12.8,18.5,0.395,26.3,50.3,4.8
2025-02-01 11:00:00,13.2,19.4,0.383,29.3,50.8,4.7
2025-02-01 12:00:00,10.4,15.5,0.352,25.5,54.7,4.2
2025-02-01 13:00:00,8.9,13.8,0.35,24.6,57.6,4.2
2025-02-01 14:00:00,9.0,14.7,0.351,26.9,57.9,4.0
2025-02-01 15:00:00,9.4,15.9,0.377,26.5,56.2,3.8
2025-02-01 16:00:00,9.6,15.3,0.371,30.7,57.3,2.7
2025-02-01 17:00:00,10.2,16.2,0.45,36.9,52.2,3.5
2025-02-01 18:00:00,15.8,22.1,0.421,33.7,48.8,3.6
2025-02-01 19:00:00,19.7,26.2,0.437,35.6,47.2,3.5
2025-02-01 20:00:00,19.8,24.7,0.419,28.2,44.7,3.1
2025-02-01 21:00:00,16.8,22.9,0.401,29.6,48.6,3.8
2025-02-01 22:00:00,18.9,25.6,0.422,32.2,53.1,4.2
2025-02-01 23:00:00,15.8,20.1,0.357,23.3,54.5,3.9
2025-02-02 00:00:00,14.7,18.5,0.347,20.1,57.9,3.9
2025-02-02 01:00:00,16.2,20.6,0.338,19.9,58.8,3.5
2025-02-02 02:00:00,15.8,19.2,0.322,17.7,54.9,3.9
2025-02-02 03:00:00,18.1,21.9,0.326,18.3,51.1,5.3
2025-02-02 04:00:00,20.9,25.5,0.346,18.4,46.1,5.9
2025-02-02 05:00:00,20.0,24.3,0.294,12.8,48.7,5.1
2025-02-02 06:00:00,16.9,20.7,0.254,13.3,50.0,4.5
2025-02-02 07:00:00,19.9,23.7,0.282,15.1,41.9,4.9
2025-02-02 08:00:00,24.0,28.4,0.38,16.7,40.2,5.0
2025-02-02 09:00:00,24.8,29.5,0.395,20.7,40.4,5.0
2025-02-02 10:00:00,20.3,24.1,0.336,18.8,37.0,5.6
2025-02-02 11:00:00,16.6,21.2,0.315,18.8,43.3,8.7
2025-02-02 12:00:00,18.8,25.4,0.355,25.1,51.7,7.3
2025-02-02 13:00:00,17.0,21.5,0.291,24.2,60.7,2.6
2025-02-02 14:00:00,16.9,22.4,0.34,24.1,64.3,3.3
2025-02-02 15:00:00,21.0,26.8,0.386,20.3,55.7,16.4
2025-02-02 16:00:00,18.0,24.8,0.408,27.6,62.4,3.4
2025-02-02 17:00:00,22.1,29.3,0.503,35.8,54.8,2.6
2025-02-02 18:00:00,25.8,33.6,0.513,39.1,44.4,3.8
2025-02-02 19:00:00,36.8,46.0,0.564,36.2,34.9,5.4
2025-02-02 20:00:00,39.8,48.7,0.524,35.3,38.4,6.4
2025-02-02 21:00:00,41.8,48.3,0.57,36.3,39.3,6.4
2025-02-02 22:00:00,34.8,40.3,0.491,26.9,41.6,6.2
2025-02-02 23:00:00,30.3,35.5,0.447,21.4,48.4,4.5
2025-02-03 00:00:00,29.7,34.5,0.39,16.1,47.5,3.5
2025-02-03 01:00:00,25.3,29.3,0.309,12.6,45.9,4.2
2025-02-03 02:00:00,21.8,25.2,0.278,10.8,46.9,3.6
2025-02-03 03:00:00,21.4,24.8,0.278,9.2,46.2,2.4
2025-02-03 04:00:00,22.5,26.0,0.275,9.2,44.0,2.3
2025-02-03 05:00:00,23.1,26.8,0.28,12.1,41.9,2.2
2025-02-03 06:00:00,22.8,27.3,0.308,22.3,39.0,1.9
2025-02-03 07:00:00,26.2,31.4,0.425,33.7,29.3,2.0
2025-02-03 08:00:00,27.6,33.1,0.476,38.4,26.3,2.4
2025-02-03 09:00:00,22.5,28.3,0.359,31.4,34.9,2.6
2025-02-03 10:00:00,19.7,24.5,0.32,23.6,42.7,2.3
2025-02-03 11:00:00,11.4,17.0,0.284,21.6,51.9,2.4
2025-02-03 12:00:00,7.1,12.2,0.259,21.3,59.7,2.5
2025-02-03 13:00:00,7.7,12.5,0.268,22.0,61.3,3.2
2025-02-03 14:00:00,7.9,15.4,0.291,27.6,62.5,3.0
2025-02-03 15:00:00,9.7,17.7,0.324,32.6,59.4,2.8
2025-02-03 16:00:00,8.7,14.1,0.405,36.2,57.6,2.2
2025-02-03 17:00:00,15.9,27.2,0.464,55.7,43.5,2.5
2025-02-03 18:00:00,22.4,35.4,0.567,61.1,35.5,3.3
2025-02-03 19:00:00,23.8,34.0,0.555,53.5,32.1,3.7
2025-02-03 20:00:00,27.0,35.0,0.47,40.2,42.0,3.7
2025-02-03 21:00:00,27.8,35.0,0.449,34.9,44.6,3.8
2025-02-03 22:00:00,32.8,41.0,0.466,31.1,45.1,3.9
2025-02-03 23:00:00,32.6,38.9,0.435,23.8,46.5,4.1
2025-02-04 00:00:00,30.8,36.8,0.424,20.8,47.4,4.1
2025-02-04 01:00:00,23.6,28.1,0.344,16.7,48.7,4.1
2025-02-04 02:00:00,20.0,23.6,0.327,16.1,42.4,5.5
2025-02-04 03:00:00,15.3,18.1,0.258,11.6,48.9,4.5
2025-02-04 04:00:00,16.6,19.7,0.261,11.4,52.7,3.9
2025-02-04 05:00:00,27.2,32.2,0.304,22.5,41.7,4.6
2025-02-04 06:00:00,31.7,37.7,0.385,36.5,28.2,5.9
2025-02-04 07:00:00,33.4,42.2,0.473,49.4,21.6,6.0
2025-02-04 08:00:00,32.9,43.1,0.524,50.9,19.2,5.8
2025-02-04 09:00:00,31.5,42.0,0.481,44.7,19.5,5.9
2025-02-04 10:00:00,30.6,40.4,0.466,46.6,32.4,6.4
2025-02-04 11:00:00,28.9,37.9,0.492,43.3,35.7,6.5
2025-02-04 12:00:00,31.7,43.3,0.512,41.6,36.0,7.5
2025-02-04 13:00:00,31.0,41.1,,,35.9,7.9
2025-02-04 14:00:00,25.7,34.9,0.473,38.0,46.1,6.5
2025-02-04 15:00:00,,,,40.5,43.4,7.4
2025-02-04 16:00:00,23.7,34.0,0.591,54.0,41.2,6.8
2025-02-04 17:00:00,22.8,33.7,0.521,46.3,38.0,5.8
2025-02-04 18:00:00,28.7,39.6,0.499,47.1,38.5,4.9
2025-02-04 19:00:00,35.0,45.4,0.588,51.1,19.3,7.7
2025-02-04 20:00:00,41.9,52.0,0.692,59.2,6.8,6.9
2025-02-04 21:00:00,70.1,83.7,1.059,58.0,6.7,11.8
2025-02-04 22:00:00,76.4,90.5,1.149,55.1,11.4,12.3
2025-02-04 23:00:00,68.5,80.7,1.023,48.6,10.0,10.1
2025-02-05 00:00:00,71.7,83.7,1.019,42.5,10.9,8.6
2025-02-05 01:00:00,74.5,86.3,1.039,35.4,4.1,6.6
2025-02-05 02:00:00,73.8,85.4,1.029,33.5,9.7,6.8
2025-02-05 03:00:00,62.2,71.7,0.893,24.1,14.3,6.1
2025-02-05 04:00:00,44.9,51.8,0.625,16.6,20.6,5.1
2025-02-05 05:00:00,39.2,45.3,0.558,18.3,22.9,4.6
2025-02-05 06:00:00,39.6,46.6,0.584,24.5,22.4,4.6
2025-02-05 07:00:00,43.8,51.2,0.701,32.4,11.2,4.7
2025-02-05 08:00:00,46.4,55.8,0.792,39.7,5.3,5.0
2025-02-05 09:00:00,52.0,63.8,0.787,38.7,9.4,5.1
2025-02-05 10:00:00,45.5,57.6,0.735,36.3,17.2,5.4
2025-02-05 11:00:00,35.3,49.5,0.598,40.0,37.2,7.5
2025-02-05 12:00:00,24.0,35.8,0.48,37.8,51.3,9.3
2025-02-05 13:00:00,25.8,40.2,0.501,40.7,57.0,7.5
2025-02-05 14:00:00,29.3,41.5,0.488,45.2,50.6,7.1
2025-02-05 15:00:00,29.1,43.6,0.563,46.0,57.1,7.1
2025-02-05 16:00:00,31.6,43.6,0.744,55.6,52.0,6.6
2025-02-05 17:00:00,34.6,51.1,0.661,64.2,43.8,6.7
2025-02-05 18:00:00,45.3,64.8,0.836,76.8,24.7,7.0
2025-02-05 19:00:00,45.5,57.6,0.807,64.2,9.4,6.8
2025-02-05 20:00:00,56.7,70.7,0.971,67.5,5.5,9.7
2025-02-05 21:00:00,61.4,76.5,0.924,57.1,4.3,8.4
2025-02-05 22:00:00,55.2,67.0,0.696,44.0,24.7,10.9
2025-02-05 23:00:00,55.1,65.6,0.659,41.6,26.1,10.8
2025-02-06 00:00:00,50.6,60.3,0.573,32.0,29.1,9.9
2025-02-06 01:00:00,49.4,57.5,0.553,24.3,31.8,7.2
2025-02-06 02:00:00,46.7,54.5,0.509,21.1,29.4,5.5
2025-02-06 03:00:00,45.3,52.3,0.477,18.7,25.8,4.6
2025-02-06 04:00:00,44.1,51.0,0.427,17.4,25.5,3.8
2025-02-06 05:00:00,46.3,53.7,0.42,18.7,28.0,3.9
2025-02-06 06:00:00,40.9,48.3,0.411,26.9,27.1,3.7
2025-02-06 07:00:00,42.0,50.3,0.496,34.8,25.2,4.8
2025-02-06 08:00:00,41.5,50.3,0.547,39.8,20.5,7.3
2025-02-06 09:00:00,42.3,50.9,0.549,45.6,14.9,7.3
2025-02-06 10:00:00,42.0,49.4,0.495,37.6,10.7,6.5
2025-02-06 11:00:00,41.4,48.8,0.48,31.3,17.4,4.9
2025-02-06 12:00:00,38.4,44.7,0.531,32.5,20.2,3.9
2025-02-06 13:00:00,37.4,44.0,0.638,37.2,16.8,3.3
2025-02-06 14:00:00,36.9,42.6,0.617,29.4,17.5,3.5
2025-02-06 15:00:00,40.6,47.0,0.686,40.6,19.2,2.8
2025-02-06 16:00:00,44.3,51.5,0.835,48.9,18.3,2.7
2025-02-06 17:00:00,47.1,54.6,0.798,42.3,11.0,3.3
2025-02-06 18:00:00,53.2,62.2,0.797,49.0,12.8,2.9
2025-02-06 19:00:00,64.4,75.8,0.928,41.8,13.3,3.7
2025-02-06 20:00:00,65.5,77.9,0.93,40.9,17.6,3.9
2025-02-06 21:00:00,60.1,71.0,0.723,30.9,16.7,4.2
2025-02-06 22:00:00,63.7,77.9,0.822,28.2,23.7,4.2
2025-02-06 23:00:00,61.9,74.8,0.745,29.6,21.2,3.9
2025-02-07 00:00:00,59.9,70.5,0.673,24.4,18.1,4.5
2025-02-07 01:00:00,58.9,68.8,0.654,21.6,18.0,4.0
2025-02-07 02:00:00,54.6,63.7,0.593,18.0,17.5,3.7
2025-02-07 03:00:00,39.2,46.3,0.477,16.2,21.8,4.3
2025-02-07 04:00:00,25.6,30.9,0.375,13.6,25.2,4.8
2025-02-07 05:00:00,16.4,20.9,0.323,14.1,29.1,5.0
2025-02-07 06:00:00,15.4,22.4,0.398,25.8,29.1,3.8
2025-02-07 07:00:00,16.2,25.3,0.519,37.6,29.6,6.2
2025-02-07 08:00:00,16.9,26.4,0.553,35.6,27.3,3.3
2025-02-07 09:00:00,15.7,26.0,0.46,29.5,37.2,5.3
2025-02-07 10:00:00,12.7,21.8,0.466,33.3,43.0,5.5
2025-02-07 11:00:00,10.2,18.4,0.37,24.2,48.9,4.6
2025-02-07 12:00:00,10.0,18.1,0.399,23.8,51.6,3.3
2025-02-07 13:00:00,11.9,24.8,0.415,28.0,54.3,2.7
2025-02-07 14:00:00,12.5,26.2,0.456,30.1,54.0,3.0
2025-02-07 15:00:00,13.2,26.2,0.506,42.5,53.2,3.3
2025-02-07 16:00:00,15.6,25.2,0.625,35.4,46.7,3.3
2025-02-07 17:00:00,18.1,29.3,0.508,33.3,40.0,3.1
2025-02-07 18:00:00,20.4,29.9,0.496,32.8,38.3,3.7
2025-02-07 19:00:00,20.0,29.6,0.503,30.7,37.6,3.3
2025-02-07 20:00:00,21.1,28.8,0.53,35.9,38.5,3.7
2025-02-07 21:00:00,20.2,27.8,0.516,30.2,39.5,4.1
2025-02-07 22:00:00,19.9,25.7,0.462,22.8,41.2,4.0
2025-02-07 23:00:00,19.2,24.5,0.434,19.2,43.0,3.7
