Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g,CAQI,CAQI_Opis,Predicted_CAQI,Predicted_CAQI_Desc
2025-02-01 00:00:00,14.1,18.3,0.322,24.5,54.1,3.1,23.5,Bardzo dobry,23.721949,Bardzo dobry
2025-02-01 01:00:00,11.6,14.7,0.283,19.3,51.0,3.7,21.25,Bardzo dobry,21.690006,Bardzo dobry
2025-02-01 02:00:00,12.7,15.7,0.316,20.0,47.6,4.2,21.166666666666668,Bardzo dobry,21.306702,Bardzo dobry
2025-02-01 03:00:00,8.9,12.0,0.287,17.2,47.4,4.2,19.75,Bardzo dobry,19.698675,Bardzo dobry
2025-02-01 04:00:00,10.0,12.5,0.299,15.9,41.5,4.6,17.291666666666668,Bardzo dobry,17.636438,Bardzo dobry
2025-02-01 05:00:00,10.4,14.2,0.286,16.6,46.0,4.7,19.166666666666668,Bardzo dobry,18.942364,Bardzo dobry
2025-02-01 06:00:00,12.6,18.6,0.313,22.4,46.2,5.8,21.0,Bardzo dobry,21.21361,Bardzo dobry
2025-02-01 07:00:00,11.3,16.9,0.341,22.1,50.9,4.9,21.20833333333333,Bardzo dobry,21.22602,Bardzo dobry
2025-02-01 08:00:00,11.8,16.7,0.365,23.1,50.0,4.5,20.83333333333333,Bardzo dobry,20.702433,Bardzo dobry
2025-02-01 09:00:00,11.0,15.8,0.363,22.6,53.0,4.3,22.08333333333333,Bardzo dobry,21.748392,Bardzo dobry
2025-02-01 10:00:00,12.8,18.5,0.395,26.3,50.3,4.8,21.333333333333336,Bardzo dobry,21.820827,Bardzo dobry
2025-02-01 11:00:00,13.2,19.4,0.383,29.3,50.8,4.7,22.0,Bardzo dobry,22.359499,Bardzo dobry
2025-02-01 12:00:00,10.4,15.5,0.352,25.5,54.7,4.2,22.791666666666668,Bardzo dobry,22.588205,Bardzo dobry
2025-02-01 13:00:00,8.9,13.8,0.35,24.6,57.6,4.2,24.0,Bardzo dobry,23.891407,Bardzo dobry
2025-02-01 14:00:00,9.0,14.7,0.351,26.9,57.9,4.0,24.125,Bardzo dobry,23.820257,Bardzo dobry
2025-02-01 15:00:00,9.4,15.9,0.377,26.5,56.2,3.8,23.416666666666668,Bardzo dobry,23.255274,Bardzo dobry
2025-02-01 16:00:00,9.6,15.3,0.371,30.7,57.3,2.7,23.875,Bardzo dobry,23.85756,Bardzo dobry
2025-02-01 17:00:00,10.2,16.2,0.45,36.9,52.2,3.5,21.75,Bardzo dobry,21.579021,Bardzo dobry
2025-02-01 18:00:00,15.8,22.1,0.421,33.7,48.8,3.6,26.333333333333336,Dobry,25.966475,Dobry
2025-02-01 19:00:00,19.7,26.2,0.437,35.6,47.2,3.5,32.83333333333333,Dobry,32.983757,Dobry
2025-02-01 20:00:00,19.8,24.7,0.419,28.2,44.7,3.1,33.0,Dobry,32.93225,Dobry
