Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g,CAQI,CAQI_Opis,Predicted_CAQI,Predicted_CAQI_Desc
2025-06-11 00:00:00,10.2,15.4,212.0,6.8,91.1,0.9,37.95833333333333,Dobry,37.9935,Dobry
2025-06-11 01:00:00,8.9,12.4,206.0,2.7,91.1,1.0,37.95833333333333,Dobry,37.9935,Dobry
2025-06-11 02:00:00,8.7,12.4,203.0,2.1,95.4,1.2,39.75,Dobry,39.73704166666666,Dobry
2025-06-11 03:00:00,9.0,12.5,202.0,2.6,95.3,0.9,39.70833333333333,Dobry,39.73704166666666,Dobry
2025-06-11 04:00:00,9.5,13.8,208.0,5.4,85.2,1.0,35.5,Dobry,35.49720833333333,Dobry
2025-06-11 05:00:00,10.2,13.4,223.0,17.0,54.7,1.0,22.791666666666668,Bardzo dobry,26.90735,Dobry
2025-06-11 06:00:00,10.8,13.9,274.0,32.6,35.2,1.0,18.000000000000004,Bardzo dobry,18.076666666666668,Bardzo dobry
2025-06-11 07:00:00,11.1,16.3,353.0,34.4,32.1,1.2,18.5,Bardzo dobry,18.526500000000002,Bardzo dobry
2025-06-11 08:00:00,12.6,15.4,341.0,33.3,64.5,0.9,26.875,Dobry,26.873833333333337,Dobry
2025-06-11 09:00:00,11.7,14.2,411.0,40.1,70.5,0.7,29.375,Dobry,29.39375,Dobry
2025-06-11 10:00:00,9.5,11.7,360.0,30.5,79.5,0.7,33.125,Dobry,33.082166666666666,Dobry
2025-06-11 11:00:00,9.1,12.2,304.0,18.5,85.1,0.9,35.45833333333333,Dobry,35.4595,Dobry
2025-06-11 12:00:00,8.2,11.3,346.0,18.5,78.9,0.8,32.875,Dobry,32.88983333333333,Dobry
2025-06-11 13:00:00,6.2,10.6,286.0,20.9,84.9,0.8,35.375,Dobry,35.379875,Dobry
2025-06-11 14:00:00,5.2,9.9,320.0,22.0,85.0,0.9,35.416666666666664,Dobry,35.41920833333334,Dobry
2025-06-11 15:00:00,3.6,8.8,347.0,28.8,78.0,0.6,32.5,Dobry,32.52383333333333,Dobry
2025-06-11 16:00:00,1.9,5.9,433.0,27.0,76.4,0.9,31.833333333333336,Dobry,31.829166666666666,Dobry
2025-06-11 17:00:00,1.9,4.3,378.0,23.3,80.0,0.8,33.333333333333336,Dobry,33.316916666666664,Dobry
2025-06-11 18:00:00,1.9,4.7,339.0,16.1,81.8,0.8,34.08333333333333,Dobry,34.089333333333336,Dobry
2025-06-11 19:00:00,1.9,3.2,353.0,19.9,79.3,0.7,33.041666666666664,Dobry,33.06225,Dobry
