Energy,CO,NO2,PM10,PM25,SO2,O3,Temperatura (C),Prędkość wiatru (km/h),Zachmurzenie (%),Ciśnienie (hPa),Opady (mm),Śnieg (cm)
0.0,0.25,9.25,10.15,10.2,0.4,36.3,10.9,4.7,100.0,1009.5,0.0,0.0
0.0,0.26,8.75,11.6,10.3,0.4,32.9,10.8,7.9,100.0,1009.9,0.0,0.0
0.0,0.24,9.45,10.55,10.3,0.4,37.2,10.3,10.1,100.0,1009.7,0.0,0.0
0.0,0.23,9.05,8.6,9.2,0.3,35.3,10.3,8.6,100.0,1009.7,0.0,0.0
0.0,0.2,7.65,7.75,8.1,0.3,40.9,10.2,9.0,100.0,1009.6,0.0,0.0
0.0,0.24,9.65,8.25,7.4,0.3,32.4,10.2,8.3,100.0,1009.9,0.0,0.0
0.0,0.31,20.65,9.05,8.1,0.3,21.0,10.4,7.2,100.0,1010.4,0.0,0.0
0.19999999999,0.36,32.95,9.3,8.7,0.6,13.8,10.6,7.2,100.0,1011.1,0.0,0.0
1.67,0.37,32.95,14.4,8.1,1.8,17.2,11.1,9.0,100.0,1011.1,0.0,0.0
2.41000000001,0.34,23.9,11.4,9.4,0.9,29.4,11.5,7.9,100.0,1011.1,0.0,0.0
2.84999999999,0.34,22.9,10.25,8.2,1.1,28.5,11.8,7.2,100.0,1011.3,0.0,0.0
4.61,0.32,18.95,12.85,7.5,1.3,36.5,12.0,7.6,100.0,1011.4,0.0,0.0
7.02,0.39,17.05,10.15,7.2,2.1,39.7,12.3,7.9,100.0,1011.6,0.0,0.0
3.42,0.35,16.7,7.9,7.0,1.5,40.3,12.6,9.4,100.0,1011.5,0.0,0.0
4.31,0.39,16.35,12.1,7.7,3.5,38.1,12.8,4.7,100.0,1011.5,0.0,0.0
2.11,0.63,24.0,13.15,9.1,0.8,36.1,12.7,5.8,100.0,1011.8,0.0,0.0
0.53,0.49,26.35,14.9,12.0,1.0,25.4,12.5,6.5,100.0,1012.0,0.0,0.0
0.02,0.53,29.7,13.95,12.5,1.0,23.3,11.9,5.8,100.0,1012.1,0.0,0.0
0.0,0.47,33.45,19.75,15.0,1.1,12.5,11.7,5.4,100.0,1012.3,0.0,0.0
0.0,0.52,34.4,18.9,16.0,1.2,22.0,11.6,4.7,100.0,1012.7,0.0,0.0
0.0,0.48,27.9,16.85,16.7,1.1,24.2,11.3,6.1,100.0,1012.7,0.0,0.0
0.0,0.43,22.85,23.9,18.2,1.0,21.7,11.0,6.8,100.0,1012.8,0.0,0.0
0.0,0.4,19.65,21.4,19.8,0.7,17.0,10.6,8.6,100.0,1012.5,0.0,0.0
0.0,0.39,17.1,19.65,19.4,0.8,14.7,10.3,8.3,100.0,1012.6,0.0,0.0
0.0,0.39,16.15,21.85,19.6,0.6,11.5,10.3,6.8,100.0,1013.1,0.0,0.0
0.0,0.38,14.05,23.05,20.1,0.7,13.1,10.1,7.2,100.0,1012.5,0.0,0.0
0.0,0.37,13.5,21.65,19.7,0.7,13.3,10.1,8.6,100.0,1012.2,0.0,0.0
0.0,0.37,14.15,20.1,19.8,0.7,10.8,10.1,9.7,100.0,1012.4,0.0,0.0
