DayOfYear,DayOfWeek,Time,Energy,NOx,CO,NO,NO2,PM10,PM25,Benzen,SO2,O3,Temperatura (C),Prędkość wiatru (km/h),Zachmurzenie (%),Ciśnienie (hPa),Opady (mm),Śnieg (cm)
277,3,00:00:00,0.0,11.2,0.25,1.25,9.25,10.15,10.2,0.76,0.4,36.3,10.9,4.7,100.0,1009.5,0.0,0.0
277,3,01:00:00,0.0,10.65,0.26,1.2000000000000002,8.75,11.6,10.3,0.7,0.4,32.9,10.8,7.9,100.0,1009.9,0.0,0.0
277,3,02:00:00,0.0,11.25,0.24,1.2,9.45,10.55,10.3,0.64,0.4,37.2,10.3,10.1,100.0,1009.7,0.0,0.0
277,3,03:00:00,0.0,11.5,0.23,1.6,9.05,8.6,9.2,0.49,0.3,35.3,10.3,8.6,100.0,1009.7,0.0,0.0
277,3,04:00:00,0.0,9.2,0.2,1.0,7.65,7.75,8.1,0.43,0.3,40.9,10.2,9.0,100.0,1009.6,0.0,0.0
277,3,05:00:00,0.0,13.2,0.24,2.35,9.65,8.25,7.4,0.37,0.3,32.4,10.2,8.3,100.0,1009.9,0.0,0.0
277,3,06:00:00,0.0,28.9,0.31,5.4,20.65,9.05,8.1,0.45,0.3,21.0,10.4,7.2,100.0,1010.4,0.0,0.0
277,3,07:00:00,0.19999999999,49.45,0.36,10.75,32.95,9.3,8.7,0.62,0.6,13.8,10.6,7.2,100.0,1011.1,0.0,0.0
277,3,08:00:00,1.67,55.6,0.37,14.8,32.95,14.4,8.1,0.62,1.8,17.2,11.1,9.0,100.0,1011.1,0.0,0.0
277,3,09:00:00,2.41000000001,44.35,0.34,13.4,23.9,11.4,9.4,0.52,0.9,29.4,11.5,7.9,100.0,1011.1,0.0,0.0
277,3,10:00:00,2.84999999999,38.35,0.34,10.1,22.9,10.25,8.2,0.45,1.1,28.5,11.8,7.2,100.0,1011.3,0.0,0.0
277,3,11:00:00,4.61,36.95,0.32,11.75,18.95,12.85,7.5,0.47,1.3,36.5,12.0,7.6,100.0,1011.4,0.0,0.0
277,3,12:00:00,7.02,45.2,0.39,18.4,17.05,10.15,7.2,0.41,2.1,39.7,12.3,7.9,100.0,1011.6,0.0,0.0
277,3,13:00:00,3.42,36.7,0.35,13.05,16.7,7.9,7.0,0.41,1.5,40.3,12.6,9.4,100.0,1011.5,0.0,0.0
277,3,14:00:00,4.31,40.1,0.39,15.55,16.35,12.1,7.7,0.42,3.5,38.1,12.8,4.7,100.0,1011.5,0.0,0.0
277,3,15:00:00,2.11,77.8,0.63,35.150000000000006,24.0,13.15,9.1,0.44,0.8,36.1,12.7,5.8,100.0,1011.8,0.0,0.0
277,3,16:00:00,0.53,63.25,0.49,24.1,26.35,14.9,12.0,0.52,1.0,25.4,12.5,6.5,100.0,1012.0,0.0,0.0
277,3,17:00:00,0.02,48.6,0.53,12.35,29.7,13.95,12.5,0.58,1.0,23.3,11.9,5.8,100.0,1012.1,0.0,0.0
277,3,18:00:00,0.0,46.8,0.47,8.7,33.45,19.75,15.0,0.72,1.1,12.5,11.7,5.4,100.0,1012.3,0.0,0.0
277,3,19:00:00,0.0,55.55,0.52,13.85,34.4,18.9,16.0,0.88,1.2,22.0,11.6,4.7,100.0,1012.7,0.0,0.0
277,3,20:00:00,0.0,36.3,0.48,5.5,27.9,16.85,16.7,0.9,1.1,24.2,11.3,6.1,100.0,1012.7,0.0,0.0
277,3,21:00:00,0.0,26.7,0.43,2.5,22.85,23.9,18.2,1.06,1.0,21.7,11.0,6.8,100.0,1012.8,0.0,0.0
277,3,22:00:00,0.0,23.6,0.4,2.6,19.65,21.4,19.8,1.11,0.7,17.0,10.6,8.6,100.0,1012.5,0.0,0.0
277,3,23:00:00,0.0,21.2,0.39,2.7,17.1,19.65,19.4,1.01,0.8,14.7,10.3,8.3,100.0,1012.6,0.0,0.0
278,4,00:00:00,0.0,22.15,0.39,3.9,16.15,21.85,19.6,0.92,0.6,11.5,10.3,6.8,100.0,1013.1,0.0,0.0
278,4,01:00:00,0.0,15.75,0.38,1.1,14.05,23.05,20.1,0.98,0.7,13.1,10.1,7.2,100.0,1012.5,0.0,0.0
278,4,02:00:00,0.0,16.55,0.37,1.95,13.5,21.65,19.7,1.035,0.7,13.3,10.1,8.6,100.0,1012.2,0.0,0.0
278,4,03:00:00,0.0,19.6,0.37,3.6,14.15,20.1,19.8,1.09,0.7,10.8,10.1,9.7,100.0,1012.4,0.0,0.0
278,4,04:00:00,0.0,31.55,0.38,8.45,18.55,17.049999999999997,18.7,0.96,0.7,8.2,9.9,12.2,100.0,1011.8,0.0,0.0
278,4,05:00:00,0.0,54.0,0.41,19.75,23.700000000000003,16.05,17.9,0.9,0.8,8.2,9.9,14.0,100.0,1011.7,0.0,0.0
278,4,06:00:00,0.0,83.80000000000001,0.6,35.25,29.8,19.0,18.3,0.82,0.5,5.8,9.9,11.2,100.0,1012.2,0.0,0.0
278,4,07:00:00,0.04,88.15,0.57,40.15,26.65,17.8,17.1,0.88,0.7,4.0,10.0,10.8,100.0,1012.6,0.0,0.0
278,4,08:00:00,0.22,75.75,0.52,36.45,20.0,18.5,15.2,0.87,0.5,6.4,9.9,12.2,100.0,1011.6,0.0,0.0
278,4,09:00:00,1.01,76.45,0.52,35.550000000000004,22.0,14.45,14.3,0.83,0.6,9.6,10.0,14.0,100.0,1011.9,0.0,0.0
278,4,10:00:00,1.31,79.35,0.56,37.2,22.45,11.75,12.3,0.75,0.6,10.6,10.0,14.4,100.0,1012.1,0.0,0.0
278,4,11:00:00,1.25,75.9,0.54,32.7,25.85,12.15,11.2,0.76,0.5,10.4,10.1,14.8,100.0,1011.9,0.0,0.0
278,4,12:00:00,2.11,80.60000000000001,0.54,36.9,24.15,11.75,11.9,0.74,0.3,14.4,10.2,13.7,100.0,1011.7,0.0,0.0
278,4,13:00:00,1.78,71.4,0.54,30.35,24.95,10.95,10.8,0.75,0.6,14.1,10.2,13.7,100.0,1011.6,0.0,0.0
278,4,14:00:00,1.24,81.69999999999999,0.63,35.0,28.2,10.8,11.8,0.735,1.8,17.2,10.4,13.3,100.0,1011.7,0.0,0.0
278,4,15:00:00,0.58,92.1,0.72,42.25,27.55,9.2,11.1,0.72,0.4,23.1,10.4,15.1,100.0,1012.0,0.0,0.0
278,4,16:00:00,0.32,87.6,0.68,39.35,27.45,9.05,11.6,0.7,0.3,29.5,10.4,14.4,100.0,1012.0,0.0,0.0
278,4,17:00:00,0.05,57.75,0.54,22.6,23.15,8.8,11.4,0.66,0.3,32.9,10.3,13.3,100.0,1012.7,0.0,0.0
278,4,18:00:00,0.0,64.9,0.59,25.6,25.7,12.7,13.1,0.7,0.4,30.2,10.3,11.5,100.0,1013.0,0.0,0.0
278,4,19:00:00,0.0,64.25,0.61,23.5,28.25,14.5,13.5,0.74,0.4,24.6,10.4,9.7,100.0,1013.2,0.0,0.0
278,4,20:00:00,0.0,48.4,0.52,16.4,23.35,12.75,12.2,0.79,0.6,21.2,10.4,9.4,100.0,1013.2,0.0,0.0
278,4,21:00:00,0.0,43.7,0.48,14.55,21.4,12.6,11.6,0.74,0.4,32.0,10.4,9.7,100.0,1013.4,0.0,0.0
278,4,22:00:00,0.0,38.85,0.43,10.85,22.25,10.25,10.0,0.67,0.5,35.1,10.5,9.7,100.0,1013.3,0.0,0.0
278,4,23:00:00,0.0,31.6,0.42,10.5,15.6,10.05,8.3,0.62,0.4,33.2,10.4,10.4,100.0,1013.3,0.0,0.0
279,5,00:00:00,0.0,24.5,0.36,7.3,13.35,10.1,7.7,0.57,0.5,32.2,10.6,12.2,100.0,1013.7,0.0,0.0
279,5,01:00:00,0.0,23.45,0.29,5.6000000000000005,14.85,8.25,7.5,0.51,0.5,32.7,10.6,12.2,100.0,1013.4,0.0,0.0
279,5,02:00:00,0.0,16.5,0.25,3.25,11.5,7.15,7.0,0.46,0.3,40.6,10.5,12.6,100.0,1013.2,0.0,0.0
279,5,03:00:00,0.0,9.45,0.25,2.55,5.55,8.399999999999999,7.3,0.47,0.4,42.9,10.5,10.8,100.0,1013.7,0.0,0.0
279,5,04:00:00,0.0,11.55,0.24,3.95,5.5,12.2,7.2,0.48,0.4,38.6,10.4,12.6,100.0,1013.5,0.0,0.0
279,5,05:00:00,0.0,13.85,0.27,4.75,6.65,9.55,7.3,0.4,0.4,36.7,10.4,11.2,100.0,1013.4,0.0,0.0
279,5,06:00:00,0.0,26.85,0.31,10.95,10.1,9.0,7.4,0.43,0.3,34.2,10.5,10.8,100.0,1014.0,0.0,0.0
279,5,07:00:00,0.0,42.1,0.39,18.15,14.3,7.75,7.5,0.4,0.2,28.9,10.5,11.5,100.0,1014.3,0.0,0.0
279,5,08:00:00,1.54,46.2,0.39,20.65,14.65,6.0,7.5,0.43,0.4,23.7,10.5,10.8,100.0,1013.9,0.0,0.0
279,5,09:00:00,1.92,38.5,0.43,18.0,10.9,6.8,6.0,0.44,0.4,24.4,10.5,10.4,100.0,1014.1,0.0,0.0
279,5,10:00:00,1.32,51.5,0.46,23.65,15.3,7.5,6.3,0.45,0.5,23.0,10.5,11.5,100.0,1014.3,0.0,0.0
279,5,11:00:00,1.53,66.35,0.52,30.6,19.55,6.25,6.7,0.48,0.6,21.7,10.4,9.0,100.0,1014.0,0.0,0.0
279,5,12:00:00,2.12,66.05,0.55,30.9,18.85,6.9,9.1,0.51,0.4,21.3,10.5,11.2,100.0,1013.6,0.0,0.0
279,5,13:00:00,0.94,67.95,0.59,33.050000000000004,17.45,9.2,9.0,0.53,0.5,21.6,10.5,9.7,100.0,1013.7,0.0,0.0
279,5,14:00:00,1.37,63.5,0.52,29.55,18.3,9.6,8.6,0.57,0.4,17.3,10.3,9.4,100.0,1013.6,0.0,0.0
279,5,15:00:00,0.91,63.5,0.54,30.0,17.6,9.55,8.8,0.58,0.4,13.5,10.3,8.3,100.0,1013.7,0.0,0.0
279,5,16:00:00,1.07000000001,56.85,0.46,27.1,15.4,10.45,8.4,0.73,0.7,11.1,10.2,8.3,100.0,1014.1,0.0,0.0
279,5,17:00:00,0.04999999999,58.75,0.54,26.65,17.95,11.9,10.0,0.82,0.5,8.6,9.9,7.6,100.0,1014.2,0.0,0.0
279,5,18:00:00,0.0,61.7,0.53,28.85,17.55,11.2,10.3,0.95,0.5,7.4,9.8,7.2,100.0,1014.1,0.0,0.0
279,5,19:00:00,0.0,55.7,0.51,27.0,14.45,11.05,10.8,0.87,0.6,8.2,9.8,5.8,100.0,1014.1,0.0,0.0
279,5,20:00:00,0.0,48.45,0.51,21.9,15.0,10.8,9.8,0.87,0.3,10.4,9.7,6.8,100.0,1014.1,0.0,0.0
279,5,21:00:00,0.0,50.55,0.58,21.9,17.0,9.85,9.5,0.77,0.5,10.8,9.7,6.8,100.0,1013.7,0.0,0.0
279,5,22:00:00,0.0,30.9,0.39,12.5,11.85,8.45,9.8,0.7,0.3,12.7,9.6,7.2,100.0,1013.4,0.0,0.0
279,5,23:00:00,0.0,27.9,0.35,10.45,12.0,8.05,9.5,0.62,0.4,13.8,9.6,6.8,100.0,1013.0,0.0,0.0
280,6,00:00:00,0.0,24.35,0.35,8.899999999999999,10.75,9.4,9.5,0.59,0.4,16.6,10.0,9.7,100.0,1012.8,0.0,0.0
280,6,01:00:00,0.0,13.6,0.24,4.6000000000000005,6.6,9.4,9.2,0.58,0.4,17.5,9.9,9.4,100.0,1012.4,0.0,0.0
280,6,02:00:00,0.0,14.9,0.24,4.8,7.550000000000001,8.0,7.9,0.54,0.4,18.2,9.8,8.6,100.0,1012.5,0.0,0.0
280,6,03:00:00,0.0,9.45,0.23,2.95,4.95,8.850000000000001,8.0,0.5,0.3,22.2,9.6,8.3,100.0,1012.4,0.0,0.0
280,6,04:00:00,0.0,14.6,0.22,5.7,5.949999999999999,9.8,8.6,0.51,0.4,24.1,9.7,9.4,100.0,1012.6,0.0,0.0
280,6,05:00:00,0.0,12.65,0.2,4.4,6.0,9.85,8.7,0.52,0.2,26.1,9.7,10.1,100.0,1012.4,0.0,0.0
280,6,06:00:00,0.0,21.45,0.24,8.299999999999999,8.75,9.0,9.3,0.45,0.2,22.6,9.5,9.7,100.0,1012.6,0.0,0.0
280,6,07:00:00,0.35,20.2,0.25,7.0,9.5,7.95,6.9,0.44,0.2,23.6,9.4,9.7,100.0,1012.7,0.0,0.0
280,6,08:00:00,0.59,14.85,0.23,3.5,9.45,7.35,6.2,0.42,0.3,22.5,9.2,10.4,100.0,1012.6,0.0,0.0
